1.0	Organization	Organization responsible for the data reported.	Header	1:MANY	Y			WC_Organization_v0.3.xsd	ORGANIZATION		
1.0.1	OrganizationIdentifier	A unique identifier assigned to the organization.  Identifiers are managed by the Central Catalog operator.	string	10	Y	Y		WC_Shared_v0.3.xsd	ORGANIZATION	ORGANIZATION_ID	
1.0.2	OrganizationName	Name corresponding to unique organization ID (i.e. Utah Division of Water Resources)	string	300	Y	N		WC_Shared_v0.3.xsd	ORGANIZATION	ORGANIZATION_NAME	
1.0.3	PurviewDescription	"A description of the purview of the agency (e.g., water rights, consumptive use estimates, etc.)"	string	300	N	N		WC_Shared_v0.3.xsd	ORGANIZATION	PURVIEW_DESC	
1.0.4	WaDEURLAddress	"The base (root) URL that the state agency will use to host the WaDE web services, including trailing forward slash"	string	400	N	N		WC_Shared_v0.3.xsd	ORGANIZATION	WADE_URL	
1.0.5	Contact	Organization Contact Information	Header	1:1	Y			WC_Contact_v0.3.xsd	ORGANIZATION		
1.0.5.1	FirstName	First name of a person.	string	15	Y	N		WC_Shared_v0.3.xsd	ORGANIZATION	FIRST_NAME	
1.0.5.2	MiddleInitial	Middle Initial of a person.	string	3	N	N		WC_Shared_v0.3.xsd	ORGANIZATION	MIDDLE_INITIAL	
1.0.5.3	LastName	Last name of a person.	string	15	Y	N		WC_Shared_v0.3.xsd	ORGANIZATION	LAST_NAME	
1.0.5.4	IndividualTitleText	Title of the contact person.	string	45	N	N		WC_Shared_v0.3.xsd	ORGANIZATION	TITLE	
1.0.5.5	EmailAddressText	Email address data	string	240	N	N		WC_Shared_v0.3.xsd	ORGANIZATION	EMAIL	
1.0.5.6	TelephoneNumberText	Telephone Number data	string	15	N	N		WC_Shared_v0.3.xsd	ORGANIZATION	PHONE	
1.0.5.7	PhoneExtensionText	Telephone number extension	string	6	N	N		WC_Shared_v0.3.xsd	ORGANIZATION	PHONE_EXT	
1.0.5.8	FaxNumberText	Fax Number	string	15	N	N		WC_Shared_v0.3.xsd	ORGANIZATION	FAX	
1.0.5.9	MailingAddress	Mailing address information	Header	1:1	Y			WC_MailingAddress_v0.3.xsd	ORGANIZATION		
1.0.5.9.1	MailingAddressText	Mailing Address 	string	60	Y	N		WC_Shared_v0.3.xsd	ORGANIZATION	ADDRESS	
1.0.5.9.2	SupplementalAddressText	Additional Address Information	string	60	N	N		WC_Shared_v0.3.xsd	ORGANIZATION	ADDRESS_EXT	
1.0.5.9.3	MailingAddressCityName	City or Locality Name	string	25	Y	N		WC_Shared_v0.3.xsd	ORGANIZATION	CITY	
1.0.5.9.4	MailingAddressStateUSPSCode	State USPS Code (i.e. KS)	string	2	Y	Y		WC_Shared_v0.3.xsd	ORGANIZATION	STATE	
1.0.5.9.5	MailingAddressCountryCode	Country Name	string	2	N	Y		WC_Shared_v0.3.xsd	ORGANIZATION	COUNTRY	
1.0.5.9.6	MailingAddressZIPCode	Zip Code	string	14	Y	N		WC_Shared_v0.3.xsd	ORGANIZATION	ZIPCODE	
